user_id,incident_id,title,incident_date,severity
101,CI1001,Phishing Email Reported,11/20/2025,High
102,CI1002,Unauthorized Access Attempt,11/21/2025,Medium
103,CI1003,Malware Detected in Network,11/22/2025,Critical
104,CI1004,Data Leak Investigation,11/23/2025,High
105,CI1005,Ransomware Attack Alert,11/24/2025,Critical
106,CI1006,Brute Force Login Attempt,11/25/2025,Medium
107,CI1007,Suspicious File Download,11/26/2025,Low
108,CI1008,Credential Dump Detected,11/27/2025,Critical
109,CI1009,Phishing Website Reported,11/28/2025,High
110,CI1010,Insider Threat Alert,11/29/2025,Medium
111,CI1011,Malware Outbreak in Dept A,11/30/2025,Critical
112,CI1012,Unauthorized Device Connected,12/1/2025,High
113,CI1013,DDoS Attack Detected,12/2/2025,Critical
114,CI1014,Security Patch Missed,12/3/2025,Medium
115,CI1015,Suspicious Email Attachment,12/4/2025,High
116,CI1016,VPN Login From Unknown IP,12/5/2025,Medium
117,CI1017,Ransomware Encryption Detected,12/6/2025,Critical
118,CI1018,Firewall Rule Modified,12/7/2025,High
119,CI1019,Privilege Escalation Attempt,12/8/2025,Medium
120,CI1020,Malicious Script Found,12/9/2025,Critical
121,CI1021,Phishing Email Campaign,12/10/2025,High
122,CI1022,Data Exfiltration Attempt,12/11/2025,Critical
123,CI1023,Unauthorized Access to Database,12/12/2025,High
124,CI1024,Credential Phishing Attempt,12/13/2025,Medium
125,CI1025,Suspicious Network Traffic,12/14/2025,High
126,CI1026,Malware Infected USB,12/15/2025,Critical
127,CI1027,Brute Force Password Attack,12/16/2025,Medium
128,CI1028,Phishing Email to Finance Dept,12/17/2025,High
129,CI1029,Unauthorized File Access,12/18/2025,Medium
130,CI1030,DDoS Attack on Web Server,12/19/2025,Critical
131,CI1031,Insider Data Leak,12/20/2025,High
132,CI1032,Ransomware on Backup Server,12/21/2025,Critical
133,CI1033,Malware Communication Detected,12/22/2025,Medium
134,CI1034,Suspicious Login Outside Office Hours,12/23/2025,Medium
135,CI1035,Unauthorized Software Installation,12/24/2025,High
136,CI1036,Phishing Email with Malicious Link,12/25/2025,High
137,CI1037,Malware Infection Spread,12/26/2025,Critical
138,CI1038,Firewall Breach Attempt,12/27/2025,High
139,CI1039,Privilege Escalation via Vulnerability,12/28/2025,Critical
140,CI1040,Phishing SMS Reported,12/29/2025,Medium
141,CI1041,Data Leak Through Email,12/30/2025,High
142,CI1042,Malware Detected in Email Attachment,1/1/2026,Critical
143,CI1043,Ransomware Demand Received,1/2/2026,Critical
144,CI1044,Unauthorized Cloud Access,1/3/2026,High
145,CI1045,Suspicious VPN Usage,1/4/2026,Medium
146,CI1046,Phishing Link Clicked,1/5/2026,High
147,CI1047,Malware in Mobile Device,1/6/2026,Critical
148,CI1048,Brute Force SSH Login Attempt,1/7/2026,Medium
149,CI1049,DDoS on API Endpoint,1/8/2026,Critical
150,CI1050,Unauthorized Access to Financial Records,1/9/2026,High
151,CI1051,Malware Spread via Email,1/10/2026,Critical
152,CI1052,Phishing Website URL Reported,1/11/2026,High
153,CI1053,Data Leak on Social Media,1/12/2026,Medium
154,CI1054,Firewall Misconfiguration Detected,1/13/2026,Medium
155,CI1055,Ransomware Encrypted User Files,1/14/2026,Critical
156,CI1056,Malware in Network Printer,1/15/2026,High
157,CI1057,Suspicious Account Activity,1/16/2026,Medium
158,CI1058,Phishing Email to HR Dept,1/17/2026,High
159,CI1059,Unauthorized Database Access,1/18/2026,Critical
160,CI1060,DDoS on Email Server,1/19/2026,Critical
161,CI1061,Ransomware Payment Demand,1/20/2026,Critical
162,CI1062,Brute Force Login Detected,1/21/2026,Medium
163,CI1063,Phishing Link on Internal Chat,1/22/2026,High
164,CI1064,Malware Found in USB Drive,1/23/2026,Critical
165,CI1065,Unauthorized Access via VPN,1/24/2026,Medium
166,CI1066,Firewall Policy Change,1/25/2026,High
167,CI1067,Privilege Escalation Attempt Detected,1/26/2026,Medium
168,CI1068,Phishing Campaign Targeting Executives,1/27/2026,Critical
169,CI1069,Malware Detected in Cloud Storage,1/28/2026,Critical
170,CI1070,Ransomware Spread via Email,1/29/2026,Critical
171,CI1071,Unauthorized Device on Network,1/30/2026,High
172,CI1072,Phishing SMS to Employees,1/31/2026,Medium
173,CI1073,Data Exfiltration via FTP,2/1/2026,Critical
174,CI1074,Malware Infection in Accounting Dept,2/2/2026,Critical
175,CI1075,Firewall Breach via Social Engineering,2/3/2026,High
176,CI1076,Phishing Email to IT Support,2/4/2026,High
177,CI1077,Suspicious Network Port Activity,2/5/2026,Medium
178,CI1078,Unauthorized File Upload,2/6/2026,High
179,CI1079,Ransomware Command and Control Traffic,2/7/2026,Critical
180,CI1080,Malware Detected in Email Server,2/8/2026,Critical
